en_wiki,requests,occupation,logvar
Akon,65058,"singer,singer-songwriter,musician,composer,rapper",0.06256622894642264
Kevin_Gates,64988,rapper,0.3251840188469741
Grimes_(musician),64928,"singer,composer",0.09269437980245218
Fr%C3%A9d%C3%A9ric_Chopin,64918,"composer,pianist,virtuoso",0.10135455451887773
Steven_Tyler,64739,"singer,bajista,singer-songwriter,composer",0.16777865846159526
Emmy_Rossum,64389,singer,0.11368654525939509
Jimmy_Page,64281,"guitarist,composer,musician",0.10541501901520503
Keke_Palmer,64091,"singer,singer-songwriter,composer",0.48767416193788293
Max_B,63919,"rapper,songwriter",0.7027976734052168
Grace_Slick,63656,"singer,musician,singer-songwriter",0.46561835516824096
Lupe_Fiasco,63631,"singer,rapper",0.5915105050574025
Patricia_Arquette,63624,composer,0.22429809279137672
Shirley_Temple,63487,singer,0.1865607805828951
Jaden_Smith,63407,"singer,rapper",0.11156398302810965
Rick_James,63405,"singer,record producer,songwriter,singer-songwriter,composer,guitarist",0.526328458165093
Courtney_Love,63372,"guitarist,singer,singer-songwriter,composer,musician",0.0998840187864774
Kygo,63183,"musician,disc jockey",0.08970490679514923
Bella_Thorne,63170,singer,0.10797142043899866
Meek_Mill,62964,rapper,0.1574199359518912
Nick_Jonas,62948,"singer-songwriter,composer",0.1364744602008265
Chris_Evans_(presenter),62941,disc jockey,0.6140266816545479
Billie_Holiday,62707,"singer-songwriter,singer,composer,jazz musician,songwriter,musician",0.26322344074147214
Max_Martin,62437,"composer,songwriter,musician",0.3061069182265475
Hans_Zimmer,62388,"composer,musician",0.0844876045217793
Lauryn_Hill,62087,"singer-songwriter,musician,composer,rapper",0.1994560630871575
Stevie_Nicks,61889,"singer,songwriter,singer-songwriter",0.14428374476399938
Alicia_Keys,61865,"singer-songwriter,musician",0.11570984903348401
Logic_(rapper),61639,rapper,0.22463013808143523
B.B._King,61336,"guitarist,singer,singer-songwriter,composer",0.32854904193478374
Jessie_J,61310,"singer,singer-songwriter",0.18439905869162349
Macaulay_Culkin,61282,musician,0.08529787963113371
Kris_Wu,61079,"singer,musician",0.2715017726637912
Josh_Dun,61048,musician,0.13583287741127736
Tyra_Banks,60972,musician,0.38185507996325213
Jennifer_Love_Hewitt,60721,"singer,musician",0.12132803148360585
Avicii,60580,"disc jockey,record producer",0.06412343664211172
Dolly_Parton,60543,"guitarist,singer,singer-songwriter,bajista",0.13583290560388667
Grant_Gustin,60431,singer,0.10251926311673953
Fergie_(singer),60345,"singer,singer-songwriter,composer,musician",0.08630663948832272
Nicole_Scherzinger,60343,"singer,musician,composer,record producer",0.0566778149884725
Selena,60309,singer,0.22237015936039803
Keith_Richards,60175,"record producer,singer-songwriter,guitarist,composer,musician",0.1481209248828265
Rosario_Dawson,59810,singer,0.11131582068229706
James_Horner,59705,"composer,conductor,musician",0.305108940276182
David_Lynch,59660,"composer,musician",0.08957115566292158
Willie_Nelson,59329,"singer-songwriter,singer,musician,songwriter,composer",0.19067304213120498
Kevin_Bacon,58891,musician,0.1358817399946435
Chuck_Berry,58750,"guitarist,singer-songwriter,singer,composer,musician",0.21284057851987565
Victoria_Beckham,58737,"singer,singer-songwriter",0.08579215915568854
Jeremy_Renner,58489,musician,0.11252390712282583
Steve_Martin,58286,"musician,bajista",0.14425114425230215
Paul_Bettany,58222,guitarist,0.10353732568494729
Signe_Toly_Anderson,57868,"singer,musician",1.159225397803655
Marion_Cotillard,57792,singer,0.08058404798057207
Robert_Pattinson,57383,musician,0.058584434565843856
Matthew_Broderick,57303,singer,0.12966943551855478
Barry_Manilow,57243,"singer,singer-songwriter,composer,conductor,songwriter",0.5653004757234058
M.I.A._(rapper),57236,"singer,singer-songwriter",0.10073896093971557
Jeff_Bridges,57156,"singer-songwriter,singer,composer",0.13991841136175387
Duke_Ellington,57009,"pianist,composer,jazz musician",0.49568162754545164
Lenny_Kravitz,56952,"singer,singer-songwriter,composer",0.09302933611371579
Aretha_Franklin,56751,"singer,singer-songwriter,composer,musician",0.20347682482881105
Ice-T,56703,"rapper,musician",0.13886315467879912
Taraji_P._Henson,56337,singer,0.16662276885491978
Kevin_Costner,56308,"musician,singer,guitarist",0.10973370649234568
Keith_Urban,56215,singer,0.21539199232382208
George_Michael,56165,"singer,songwriter,singer-songwriter,composer",0.09401977481611136
Arijit_Singh,56056,singer,0.34218541325662444
Trevor_Noah,55904,disc jockey,0.18448919335838196
Jeff_Buckley,55775,"singer-songwriter,guitarist,singer,musician,composer",0.1091301950318999
Brian_May,55721,"guitarist,singer,composer,singer-songwriter",0.2570504540110891
Linda_Ronstadt,55613,"singer,singer-songwriter,composer,jazz musician,record producer",0.19813865373706643
St._Vincent_(musician),55535,"singer-songwriter,singer,musician",0.1877650127405188
Steven_Seagal,55503,singer,0.11384902563010825
Ricky_Gervais,55493,musician,0.09915177672419681
The_Game_(rapper),55462,rapper,0.09708457692890352
Lukas_Graham_Forchhammer,55318,singer,0.33568986244628296
Dominic_Sherwood,55242,musician,0.1503368963605876
Anderson_Paak,55106,rapper,0.19947256744155883
Lou_Reed,55017,"singer,singer-songwriter,guitarist,composer,musician,songwriter",0.104164697873617
Julie_Andrews,54960,singer,0.10031457213381094
Viggo_Mortensen,54729,"singer,composer,musician",0.11431700879152314
Hozier_(musician),54671,"singer,composer",0.12339957107294978
Chris_Rea,54669,"singer-songwriter,singer,musician",0.39192536854688653
Jason_Derulo,54657,"singer,musician,songwriter,singer-songwriter,composer",0.12602829521542355
Leighton_Meester,54555,singer,0.08587241775225589
Victoria_Justice,54515,"singer,musician",0.13155879618060182
Paloma_Faith,54493,"singer,singer-songwriter,jazz musician",0.3743732060952431
Mel_Brooks,54464,"composer,songwriter",0.1762171449930368
Don_Felder,54359,guitarist,0.355833247687495
MC_Ren,54302,"musician,rapper",0.09264685567024274
Russell_Brand,54275,"singer,musician",0.0654517443291449
Amanda_Bynes,54174,singer,0.1266588929398861
Mike_Posner,54150,"singer,musician,singer-songwriter,composer",0.23862825690786418
Dean_Martin,54096,"singer,jazz musician",0.12088108603185983
Matthew_Healy,53888,"guitarist,singer,composer",0.5143218069953188
A._R._Rahman,53687,"composer,singer,musician,multi-instrumentalist,record producer,songwriter",0.18941228750789196
Mathew_Knowles,53608,record producer,0.9394987586906877
Nelly_Furtado,53575,"singer,musician",0.29838139439341
Kim_Basinger,53571,singer,0.10067495037659109
Angela_Lansbury,53521,singer,0.15167807346921972
Richard_Wagner,53325,"composer,conductor",0.09437764859691815
James_Taylor,53245,"singer-songwriter,singer,musician,guitarist,composer",0.24536308278063887
Syd_Barrett,53164,"guitarist,composer,songwriter,singer",0.11391261773207566
"Tyler,_The_Creator",53120,"record producer,rapper",0.15830237131439803
Common_(rapper),53108,"musician,rapper",0.19164314766878607
Billy_Bob_Thornton,53006,"musician,singer",0.09060191616863104
David_Gilmour,52956,"guitarist,singer-songwriter,songwriter,multi-instrumentalist",0.13088066312980465
Lucille_Ball,52686,singer,0.20989934451799674
Brian_Eno,52671,composer,0.10348527356884807
R._Kelly,52546,"record producer,singer-songwriter,composer,musician",0.08581489773752668
