en_wiki,requests,instance_of,logvar
Havok_(comics),27471,"mutant,superhero",0.1846270226898848
Supergirl_(Kara_Zor-El),27330,"fictional character,Kryptonian",0.12473890024131995
Major_Tom,27329,fictional human,0.14239989370697986
Hestia,27217,Greek deity,0.17702986374585913
Brahma,27194,deity,0.08359430556468028
Frank_Underwood_(House_of_Cards),27085,fictional character,0.20748694798279413
Nimrod,27023,human biblical character,0.14771176653705542
Obi-Wan_Kenobi,26965,fictional character,0.1242772708432999
Nebuchadnezzar_II,26927,human biblical character,0.12961327599141473
Raven_(comics),26912,"superhero,fictional human",0.09852313311742167
Freyja,26907,Norse deity,0.10386265077239375
Medea,26897,mythical character,0.1350925939413125
Helios,26809,deity,0.14844227235340499
Goku,26794,"Saiyan,fictional character",0.14567836046430357
Ultron,26779,supervillain,0.11415438232683128
Starfire_(comics),26737,fictional extraterrestrial,0.10514895149154253
Kunta_Kinte,26734,fictional human,0.19567666119264726
Cassandra,26681,mythical character,0.18392434607612287
Daryl_Dixon,26606,fictional human,0.4204063233172204
Patty_Spivot,26418,fictional character,0.14867659494189348
Padm%C3%A9_Amidala,26278,"fictional human,film character",0.1650896289577305
Avatar,26268,fictional character,0.09746228569773281
Mantis_(Marvel_Comics),26247,"fictional human,mutate,superhero",0.6042448143381577
Popeye,26204,fictional character,0.1165367418884023
Jubilee_(comics),26155,"vampire in Marvel Universe,mutant,superhero",0.1673354457901139
Tree_of_life,26127,fictional tree,0.12252113570270289
Poison_Ivy_(comics),26113,"fictional character,supervillain",0.09686915855040863
Golem,26095,fictional character,0.1518457757737067
Storm_(Marvel_Comics),26054,"fictional human,superhero",0.15716944151959944
Jesse_Chambers,26026,fictional character,0.6281984689256103
Samson,25920,human biblical character,0.10642798446947042
Venus_(mythology),25867,deity,0.14035495033759146
Severus_Snape,25801,wizard in the Harry Potter universe,0.13475686477257845
Xolotl,25734,deity,1.5552552628628453
Ishtar,25662,deity,0.14687974639894674
Jesus_in_Islam,25444,"apostle,prophets of Islam,Quranic character",0.09413463752687382
Gwen_Stacy,25414,fictional character,0.15189233706176922
Shiklah,25293,fictional character,0.706205229643384
Fenrir,25291,Norse mythical animal,0.12731828580529714
Hank_Pym,25291,"fictional character,superhero",0.11659677973666072
